-2.625	-0.770	12.808
-1.656	-0.264	12.790
-2.624	-0.770	12.808
-1.619	-0.326	12.789
-2.653	-0.707	12.807
-1.607	-0.349	12.788
-2.756	-0.280	12.800
-1.611	-0.500	12.785
-2.735	-0.143	12.797
-1.588	-0.320	12.788
-2.642	0.254	12.789
-1.826	-0.641	12.784
-2.220	0.477	12.785
-1.661	-0.583	12.784
-2.647	0.115	12.792
-1.646	-0.559	12.784
-2.613	0.166	12.791
-1.625	-0.531	12.785
-2.731	-0.098	12.797
-1.639	-0.582	12.784
-2.332	0.406	12.786
-1.783	-0.659	12.784
-2.324	0.410	12.786
-1.785	-0.660	12.784
-1.577	0.440	12.783
-2.046	-0.550	12.784
-1.494	0.390	12.782
-1.884	-0.642	12.784
-1.706	0.467	12.783
-1.929	-0.629	12.784
-1.701	0.465	12.783
-1.867	-0.648	12.784
-2.300	0.460	12.785
-1.788	-0.620	12.784
-2.027	0.524	12.784
-1.780	-0.621	12.784
-2.158	0.500	12.785
-1.894	-0.641	12.784
-1.941	0.506	12.784
-1.813	-0.644	12.784
-1.949	0.507	12.784
-1.814	-0.642	12.784
-2.193	0.480	12.785
-1.798	-0.639	12.784
-2.186	0.481	12.785
-1.816	-0.642	12.784
-2.179	0.484	12.785
-1.821	-0.641	12.784
-2.309	0.448	12.785
-1.866	-0.656	12.784
-1.622	0.433	12.783
-1.976	-0.614	12.784
-1.614	0.432	12.783
-1.912	-0.638	12.784
-1.879	0.501	12.784
-1.839	-0.647	12.784
-1.872	0.500	12.784
-1.917	-0.638	12.784
-1.607	0.428	12.783
-2.008	-0.599	12.784
-1.607	0.427	12.783
-2.007	-0.601	12.784
-1.501	0.370	12.782
-1.974	-0.620	12.784
-1.706	0.461	12.783
-1.952	-0.627	12.784
-1.773	0.482	12.784
-1.952	-0.628	12.784
-1.586	0.415	12.783
-1.922	-0.639	12.784
-1.851	0.494	12.784
-1.839	-0.650	12.784
-1.867	0.497	12.784
-1.905	-0.640	12.784
-1.830	0.492	12.784
-1.916	-0.637	12.784
-1.603	0.428	12.783
-2.007	-0.598	12.784
-1.443	0.336	12.781
-1.970	-0.620	12.784
-1.628	0.434	12.783
-1.947	-0.629	12.784
-1.724	0.468	12.783
-1.925	-0.636	12.784
-1.795	0.486	12.784
-1.868	-0.648	12.784
-1.998	0.503	12.784
-1.868	-0.646	12.784
-1.998	0.504	12.784
-1.870	-0.647	12.784
-2.005	0.503	12.784
-1.866	-0.646	12.784
-2.003	0.505	12.784
-1.867	-0.645	12.784
-1.804	0.490	12.784
-1.939	-0.631	12.784
-1.754	0.478	12.783
-1.957	-0.625	12.784
-1.480	0.361	12.782
-2.590	0.183	12.771
-2.064	-0.892	12.765
-2.928	-1.547	12.801
-2.158	-0.784	12.770
-1.936	0.313	12.768
-1.983	-0.823	12.769
-2.319	-1.877	12.785
-1.243	-2.402	12.704
-0.501	-1.613	12.653
-0.511	-0.469	12.653
-1.450	0.293	12.656
-1.982	1.366	12.640
-3.067	1.857	12.580
-1.997	1.325	12.771
-2.885	0.753	12.966
-3.890	0.385	13.211
-4.762	-0.123	13.396
-4.293	1.059	13.524
-3.786	2.212	13.651
-2.666	2.353	13.831
-1.571	2.238	13.898
-1.883	3.664	13.853
-1.475	4.962	13.899
-2.654	5.442	13.677
-1.807	6.342	13.832
-2.980	6.885	13.550
-2.072	7.754	13.756
-3.170	8.678	13.425
-2.207	9.475	13.702
-1.150	10.012	14.048
-1.443	9.369	13.950
-2.605	9.678	13.557
-3.526	10.885	13.204
-3.747	12.424	13.081
